id,nome,formato,licensa,dataPublicacao,dataAtualizacao,periodoTempo,possuiDownload,descricao,acesso
1,Transporte Rodoviário: API de GPS dos ônibus (SPPO) [beta],['Document Link'],CC BY 4.0,,18 de abril de 2023,,False,,Público
2,"Movimento total de carga, segundo o tipo de navegação e a natureza da carga, no Porto do Rio de Janeiro entre 1990-2023",['Microsoft Excel'],CC BY 4.0,,17 de junho de 2024,1990-2023,True,,Público
3,Principais incidências mensais de infração de trânsito no Estado do Rio de Janeiro entre 2001-2023,['Microsoft Excel'],CC BY 4.0,,5 de fevereiro de 2024,2001-2023,True,,Público
4,Movimento de cargas e correio nos aeroportos no Município do Rio de Janeiro entre 1994-2014,['Microsoft Excel'],CC BY 4.0,,20 de setembro de 2023,1994-2014,True,,Público
5,Trajeto VLT,"['csv', 'shapefile', 'geojson', 'kml']",CC BY 4.0,,Dados Atualizados: 6 de setembro de 2024,,True,"{'nome': 'String de caractere', 'em_operação': 'String de caractere', 'cod_linha': 'Inteiro curto', 'st_length(shape)': 'Número decimal de precisão dupla'}",Público
6,Estações Bonde,['Feature Service'],CC BY 4.0,,Data de Atualização: 17 de outubro de 2022,,False,,Público
7,Total da frota de veículos segundo as principais classificações do Código de Trânsito Brasileiro no Município do Rio de Janeiro entre 1994-2023,['Microsoft Excel'],CC BY 4.0,,22 de janeiro de 2024,1994-2023,True,,Público
8,BRS (Serviço Rápido de Ônibus),"['csv', 'shapefile', 'geojson', 'kml']",CC BY 4.0,,20 de setembro de 2023,,True,"{'fid_': 'Inteiro longo', 'name': 'String de caractere', 'ap': 'String de caractere', 'portaria_s': 'String de caractere', 'data_da_po': 'Data', 'data_de_pu': 'Data', 'início_op': 'String de caractere', 'nº_faixas': 'String de caractere', 'início': 'String de caractere', 'fim': 'String de caractere'}",Público
9,"Movimentação de desembarque de carga de contêiner, segundo a dimensão pela navegação de longo curso, no Porto do Rio de Janeiro entre 1994-2009",['Microsoft Excel'],CC BY 4.0,,13 de setembro de 2023,1994-2009,True,,Público
10,"Média anual de passageiros, por dia, na linha de barcas Rio-Niterói-Rio entre 1970-2023",['Microsoft Excel'],CC BY 4.0,,23 de fevereiro de 2024,1970-2023,True,,Público
11,Indicadores de desempenho mensal do sistema de transporte de ônibus no Município do Rio de Janeiro entre 1984-2018,['Microsoft Excel'],CC BY 4.0,,15 de setembro de 2023,1984-2018,True,,Público
12,Trajetos Trem,"['csv', 'shapefile', 'geojson', 'kml']",CC BY 4.0,,Dados Atualizados: 25 de junho de 2024,,True,"{'ramal': 'String de caractere', 'flg_ativa': 'Inteiro curto', 'status': 'Inteiro curto', 'data_inc': 'Data', 'st_length(shape)': 'Número decimal de precisão dupla'}",Público
13,"Movimentação de embarcações e passageiros no terminal de passageiros, segundo o sentido de navegação, no Porto do Rio de Janeiro entre 2000-2023",['Microsoft Excel'],CC BY 4.0,,13 de junho de 2024,2000-2023,True,,Público
14,Itinerários de Serviços de Ônibus Regulares,"['csv', 'shapefile', 'geojson', 'kml']",CC BY 4.0,,3 de setembro de 2024,,True,"{'servico': 'String de caractere', 'destino': 'String de caractere', 'direcao': 'Inteiro longo', 'tipo_rota': 'String de caractere', 'extensao': 'Inteiro longo', 'descricao_desvio': 'String de caractere', 'consorcio': 'String de caractere'}",Público
